Product ASIN,Clicks,Indirect Items Ordered,Direct Items Ordered,Items Ordered,Product Conversion Rate,Ordered Revenue,Direct Conversion Rate,Commission Rate,Items Shipped,Items Returned,Items Shipped Revenue,Items Shipped Earnings,Items Returned Revenue,Items Returned Earnings,Total Earnings,Time Period
B0CP1YNJ8X,"15,633","1,703","1,411","3,114",19.92%,"$48,252.62",9.03%,3.09%,"3,099",100,"$48,023.73","$1,484.50","$2,037.79",$72.81,"$1,411.69",2025
B0DQM4LNYV,"15,435","1,474",70,"1,544",10.00%,"$31,370.61",0.45%,3.21%,"1,521",66,"$30,959.93",$994.05,"$2,064.55",$69.98,$924.07,2025
B0FNGCNMJ7,"6,195",963,166,"1,129",18.22%,"$25,611.39",2.68%,3.62%,"1,123",35,"$25,498.40",$922.84,$789.71,$29.11,$893.73,2025
B0DQ4LPM9Y,"13,036","1,291",54,"1,345",10.32%,"$29,871.36",0.41%,3.15%,"1,344",79,"$29,860.38",$941.64,"$1,940.19",$65.83,$875.81,2025
B0C9V811L6,"11,511","1,248",11,"1,259",10.94%,"$29,407.33",0.10%,3.32%,"1,249",63,"$28,271.87",$938.56,"$2,068.64",$75.02,$863.54,2025
B0DPQV18TH,"5,449","1,069",31,"1,100",20.19%,"$24,184.61",0.57%,3.24%,"1,102",21,"$24,220.35",$784.62,$484.35,$17.18,$767.44,2025
B0F48DPF9R,"10,008","1,119",221,"1,340",13.39%,"$23,039.73",2.21%,3.34%,"1,340",90,"$23,043.22",$769.20,"$2,219.41",$88.02,$681.18,2025
B0DQX8YQYK,"10,436","1,110",210,"1,320",12.65%,"$19,883.97",2.01%,3.21%,"1,315",36,"$19,803.80",$636.59,$672.07,$23.06,$613.53,2025
B0DBJDDBNZ,"4,677",-,-,881,18.84%,"$16,859.50",-,3.65%,878,23,"$16,782.76",$612.59,$495.65,$20.23,$592.36,2025
B0FJDKVVQ1,"9,445",-,-,928,9.83%,"$19,728.73",-,3.15%,907,68,"$19,102.25",$601.66,"$2,023.39",$70.31,$531.35,2025
B0F1WYX8J6,"4,650",-,-,794,17.08%,"$15,745.86",-,3.42%,792,24,"$15,612.90",$533.24,$616.76,$23.00,$510.24,2025
B0DMBXVFDK,"6,499",-,-,778,11.97%,"$16,467.50",-,3.23%,777,34,"$16,448.56",$530.88,$823.23,$33.72,$497.16,2025
B08KTVXNFX,"4,338",-,-,744,17.15%,"$14,349.03",-,3.49%,746,31,"$14,355.48",$501.35,$691.10,$27.49,$473.86,2025
B01M69CRE2,"5,885",-,-,757,12.86%,"$15,137.35",-,3.24%,756,28,"$15,130.11",$490.40,$698.64,$25.62,$464.78,2025
B0FK124QCT,"3,239",-,-,495,15.28%,"$12,705.09",-,3.54%,491,5,"$12,632.13",$447.45,$130.11,$6.79,$440.66,2025
B0BLJSNSK8,"9,187",-,-,874,9.51%,"$16,916.40",-,3.03%,746,5,"$14,370.72",$435.81,$142.92,$4.48,$431.33,2025
B01GTX8KQ2,"5,752",-,-,603,10.48%,"$14,627.66",-,3.13%,609,43,"$14,782.54",$462.67,"$1,138.17",$37.41,$425.26,2025
B0FZWJ9857,"7,329",-,-,756,10.32%,"$14,758.24",-,3.04%,755,53,"$14,730.61",$448.24,"$1,424.54",$54.04,$394.20,2025
B0FMFBRTWT,"6,002",-,-,631,10.51%,"$14,854.24",-,2.79%,597,46,"$13,979.75",$390.40,$254.20,$6.37,$384.03,2025
B0F2GPDFZZ,"5,220",-,-,645,12.36%,"$12,938.51",-,3.14%,624,8,"$12,423.26",$389.94,$208.52,$7.06,$382.88,2025
B0D7Q23WYH,"5,607",-,-,537,9.58%,"$12,366.55",-,3.32%,537,40,"$12,366.55",$410.00,$934.69,$32.00,$378.00,2025
B0CV5N8NL4,"7,215",-,-,546,7.57%,"$12,329.74",-,3.30%,545,26,"$12,299.75",$405.94,"$1,076.52",$35.50,$370.44,2025
B0BQ1TFYH5,"6,712",-,-,"1,016",15.14%,"$12,341.21",-,3.17%,999,15,"$11,959.92",$379.47,$314.05,$10.27,$369.20,2025
B08V1R73H9,"4,258",-,-,491,11.53%,"$11,613.29",-,3.25%,490,16,"$11,563.90",$376.01,$307.77,$11.26,$364.75,2025
B0DGJC52FP,"6,396",-,-,563,8.80%,"$12,195.72",-,3.17%,563,42,"$12,195.72",$386.18,$762.95,$25.91,$360.27,2025
B0CP4BSFB9,"6,260",-,-,631,10.08%,"$12,086.97",-,3.19%,635,28,"$12,110.21",$386.52,$774.48,$27.32,$359.20,2025
B08DQD37CY,"5,156",-,-,411,7.97%,"$11,624.51",-,3.23%,409,19,"$11,571.16",$374.01,$413.13,$15.20,$358.81,2025
073644243X,"4,213",-,-,502,11.92%,"$11,657.74",-,3.21%,502,18,"$11,657.74",$374.37,$456.82,$15.90,$358.47,2025
B0FHMDL9HW,"6,719",-,-,733,10.91%,"$15,118.10",-,2.60%,716,34,"$14,693.63",$381.55,$837.88,$30.17,$351.38,2025
B0CLRNS4DD,"3,137",-,-,516,16.45%,"$10,796.86",-,3.16%,514,32,"$10,713.35",$338.28,$740.04,$26.42,$311.86,2025
B097C2YG2M,"3,202",-,-,415,12.96%,"$10,243.95",-,3.18%,415,13,"$10,243.95",$326.13,$507.12,$18.25,$307.88,2025
B08MFRWH8X,917,-,-,487,53.11%,"$10,248.42",-,3.11%,487,21,"$10,248.42",$318.46,$629.98,$22.46,$296.00,2025
B0F488M21K,"5,023",-,-,529,10.53%,"$10,385.88",-,3.07%,529,34,"$10,385.88",$319.08,$859.89,$30.20,$288.88,2025
B0DWG25PNY,"3,224",-,-,558,17.31%,"$9,517.81",-,3.26%,552,20,"$9,378.22",$305.76,$614.25,$19.48,$286.28,2025
B0G1D75TYS,"5,648",-,-,695,12.31%,"$10,649.64",-,2.78%,688,12,"$10,556.68",$293.23,$250.86,$9.89,$283.34,2025
B0FDT1WVVK,"3,736",-,-,333,8.91%,"$9,173.98",-,3.30%,333,17,"$9,173.98",$302.52,$588.79,$19.91,$282.61,2025
B0DMDVWM9W,"5,040",-,-,495,9.82%,"$9,455.45",-,3.12%,495,23,"$9,455.44",$294.61,$457.28,$15.98,$278.63,2025
B09YSYJZ92,"1,804",-,-,405,22.45%,"$9,602.64",-,3.26%,402,23,"$9,546.52",$311.32,"$1,042.59",$37.25,$274.07,2025
B0DN23L5Z7,"5,761",-,-,522,9.06%,"$9,425.80",-,3.25%,520,28,"$9,393.00",$305.13,$847.81,$31.09,$274.04,2025
B0D8X87JB9,"4,485",-,-,455,10.14%,"$8,859.65",-,3.17%,455,20,"$8,859.65",$280.94,$391.21,$13.95,$266.99,2025
B07T8BM88V,"4,418",-,-,513,11.61%,"$8,532.98",-,3.36%,512,26,"$8,525.37",$286.33,$615.19,$20.44,$265.89,2025
B0F4ZWF4WB,"4,907",-,-,396,8.07%,"$8,382.11",-,3.32%,396,18,"$8,382.11",$278.14,$404.76,$13.40,$264.74,2025
B0FN3X95DN,"3,512",-,-,368,10.48%,"$8,632.52",-,3.14%,367,14,"$8,612.72",$270.79,$309.60,$11.11,$259.68,2025
B0FP2VJX98,"4,851",-,-,446,9.19%,"$7,829.66",-,3.52%,446,27,"$7,829.66",$275.67,$546.83,$19.25,$256.42,2025
B09GXPNNZG,"4,330",-,-,539,12.45%,"$8,991.96",-,3.21%,537,32,"$8,941.98",$287.34,$827.95,$30.99,$256.35,2025
B0CJN7F8MF,"3,588",-,-,360,10.03%,"$8,528.56",-,3.17%,360,18,"$8,528.56",$270.04,$391.29,$14.98,$255.06,2025
B0CTS2Z235,"3,275",-,-,394,12.03%,"$8,314.37",-,3.24%,391,11,"$8,250.64",$267.31,$394.77,$14.79,$252.52,2025
B0DG645PYV,"3,841",-,-,454,11.82%,"$8,396.78",-,3.22%,454,27,"$8,396.78",$270.51,$542.15,$19.91,$250.60,2025
B0DYG4Q6PL,"3,622",-,-,316,8.72%,"$8,609.57",-,3.12%,314,14,"$8,233.75",$257.06,$226.97,$8.23,$248.83,2025
B0CPLC8GTF,"4,219",-,-,516,12.23%,"$8,473.21",-,3.10%,514,16,"$8,408.22",$261.02,$343.60,$12.48,$248.54,2025
B0DSLTHSYM,"6,504",-,-,676,10.39%,"$13,900.52",-,2.85%,450,7,"$8,608.84",$245.28,$106.18,$4.54,$240.74,2025
B0D2DV2GJ1,"4,830",-,-,523,10.83%,"$9,318.98",-,3.07%,457,3,"$7,832.91",$240.16,$29.60,$0.88,$239.28,2025
B0CPQ4SSRT,"2,124",-,-,589,27.73%,"$8,034.77",-,3.01%,590,14,"$8,037.42",$242.12,$122.94,$3.05,$239.07,2025
B0DCW358CH,"5,918",-,-,570,9.63%,"$8,772.44",-,3.23%,569,47,"$8,741.84",$282.24,"$1,297.04",$44.57,$237.67,2025
B0CZ1T6XY7,"3,382",-,-,354,10.47%,"$7,536.94",-,3.41%,353,18,"$7,505.95",$256.25,$504.26,$18.73,$237.52,2025
B09NP42CH7,"3,207",-,-,407,12.69%,"$7,675.70",-,3.25%,407,17,"$7,675.70",$249.84,$340.79,$12.33,$237.51,2025
B0B627D6ZZ,"4,928",-,-,426,8.64%,"$7,795.84",-,3.30%,422,17,"$7,736.49",$255.37,$541.56,$18.14,$237.23,2025
B0C76FHH3Z,"4,645",-,-,339,7.30%,"$7,743.21",-,3.18%,339,13,"$7,743.21",$246.14,$392.12,$14.07,$232.07,2025
B0D4KNH79M,"4,962",-,-,495,9.98%,"$7,848.15",-,3.34%,494,44,"$7,839.16",$261.66,$819.41,$30.20,$231.46,2025
B0DQVNSJL4,"2,666",-,-,418,15.68%,"$7,588.76",-,3.25%,418,10,"$7,588.76",$246.71,$483.75,$15.71,$231.00,2025
B0BGVLKVN2,"2,827",-,-,397,14.04%,"$7,177.55",-,3.33%,396,18,"$7,157.61",$238.22,$255.32,$9.22,$229.00,2025
B0F1DP1GYG,"2,283",-,-,496,21.73%,"$7,974.71",-,3.04%,489,17,"$7,852.75",$238.98,$366.96,$10.98,$228.00,2025
B0C46KPKXQ,"1,417",-,-,380,26.82%,"$6,845.30",-,3.41%,378,15,"$6,823.92",$232.96,$274.36,$8.15,$224.81,2025
B09VXTT9QZ,"5,014",-,-,397,7.92%,"$7,400.68",-,3.20%,398,19,"$7,401.67",$237.02,$400.69,$14.04,$222.98,2025
B01M5DAMBV,"2,985",-,-,339,11.36%,"$6,994.99",-,3.35%,339,17,"$6,994.99",$234.64,$359.74,$13.51,$221.13,2025
B00BFUSDO4,"3,798",-,-,574,15.11%,"$8,750.96",-,2.77%,556,24,"$8,501.32",$235.43,$449.56,$16.72,$218.71,2025
B0DG572K85,"4,147",-,-,428,10.32%,"$7,880.72",-,3.15%,425,31,"$7,856.15",$247.81,$861.18,$31.16,$216.65,2025
B07MYW85VT,"6,141",-,-,752,12.25%,"$12,328.38",-,2.14%,608,1,"$9,943.71",$213.17,$9.99,$0.40,$212.77,2025
B09NP2VXJL,"2,870",-,-,349,12.16%,"$7,072.19",-,3.11%,349,16,"$7,072.19",$219.91,$347.40,$12.51,$207.40,2025
B09KTW799W,"3,121",-,-,336,10.77%,"$7,186.65",-,3.14%,336,15,"$7,186.65",$225.50,$498.72,$18.53,$206.97,2025
B08QY6HT97,"2,396",-,-,369,15.40%,"$8,867.01",-,2.43%,369,12,"$8,867.01",$215.82,$232.91,$8.86,$206.96,2025
B0C3F2DL8Z,"5,024",-,-,824,16.40%,"$10,472.91",-,2.06%,819,18,"$10,408.25",$214.16,$262.25,$8.12,$206.04,2025
"593,890,175","3,070",-,-,427,13.91%,"$6,463.24",-,3.38%,427,21,"$6,463.24",$218.67,$387.40,$14.44,$204.23,2025
B01LXSDSLX,"3,618",-,-,321,8.87%,"$6,875.48",-,3.26%,320,26,"$6,855.49",$223.56,$558.88,$20.40,$203.16,2025
B0CYNZL311,"2,649",-,-,415,15.67%,"$6,771.29",-,3.10%,407,9,"$6,678.73",$206.87,$144.36,$5.48,$201.39,2025
B0B5FG445M,"3,300",-,-,350,10.61%,"$7,185.19",-,3.34%,350,58,"$7,185.19",$239.82,"$1,175.34",$44.74,$195.08,2025
B0BLJT9C56,"3,351",-,-,378,11.28%,"$6,608.79",-,3.26%,374,23,"$6,506.84",$211.90,$665.79,$20.87,$191.03,2025
B0FFVJRNL6,"3,406",-,-,721,21.17%,"$6,986.71",-,2.81%,719,14,"$6,972.23",$196.14,$193.07,$6.62,$189.52,2025
B00SDJG51S,"3,307",-,-,424,12.82%,"$6,490.23",-,3.20%,424,25,"$6,490.23",$207.80,$548.66,$18.61,$189.19,2025
B0F6CBR1YN,"4,034",-,-,355,8.80%,"$7,211.77",-,3.07%,354,25,"$7,191.78",$220.97,$873.20,$31.92,$189.05,2025
B0DBRGS3T2,"2,878",-,-,478,16.61%,"$6,562.88",-,3.14%,476,27,"$6,334.39",$198.99,$401.71,$14.72,$184.27,2025
B0CFBJBSSY,"2,253",-,-,506,22.46%,"$8,356.40",-,2.29%,498,5,"$8,100.39",$185.84,$79.98,$2.65,$183.19,2025
B0CP43PDCW,"2,325",-,-,347,14.92%,"$6,250.56",-,3.22%,346,19,"$6,228.17",$200.82,$579.27,$18.87,$181.95,2025
B0F4KK2TXG,"3,935",-,-,390,9.91%,"$6,419.86",-,3.19%,394,53,"$6,432.24",$205.26,$784.65,$25.33,$179.93,2025
B08PKBG9BD,"4,631",-,-,329,7.10%,"$5,879.75",-,3.39%,327,23,"$5,818.69",$197.16,$560.07,$21.93,$175.23,2025
B0BZYFFLQG,"3,510",-,-,360,10.26%,"$6,257.09",-,3.33%,360,31,"$6,257.09",$208.42,$962.86,$33.94,$174.48,2025
B0C1P7RGMY,"3,867",-,-,439,11.35%,"$6,715.97",-,2.90%,439,24,"$6,715.97",$195.09,$768.15,$29.97,$165.12,2025
B0D7PTSD1X,"3,661",-,-,355,9.70%,"$5,346.78",-,3.35%,354,17,"$5,327.79",$178.53,$405.11,$17.79,$160.74,2025
B0DLHKBGTY,"3,010",-,-,481,15.98%,"$6,872.75",-,2.53%,479,21,"$6,856.61",$173.34,$406.19,$14.02,$159.32,2025
B0FCD8JL1C,"2,553",-,-,335,13.12%,"$5,351.18",-,3.18%,333,15,"$5,295.81",$168.56,$361.84,$14.13,$154.43,2025
B0DCZSCB4V,"2,562",-,-,431,16.82%,"$5,212.97",-,3.13%,430,12,"$5,204.13",$163.06,$237.61,$8.69,$154.37,2025
B0D9P7D922,414,-,-,155,37.44%,"$2,251.91",-,3.08%,356,11,"$4,855.49",$149.75,$146.36,$4.76,$144.99,2025
B08PX2V7PG,"3,263",-,-,372,11.40%,"$6,504.20",-,2.37%,373,10,"$6,516.70",$154.14,$238.02,$9.28,$144.86,2025
B0F6C8L1LR,"2,384",-,-,349,14.64%,"$4,709.88",-,3.16%,349,15,"$4,709.88",$148.79,$259.07,$9.39,$139.40,2025
B0747ZC625,"2,980",-,-,598,20.07%,"$7,609.21",-,2.04%,579,15,"$7,374.56",$150.48,$412.62,$15.03,$135.45,2025
B0F9Z41PP3,"2,758",-,-,311,11.28%,"$4,624.74",-,3.16%,313,14,"$4,644.63",$146.73,$297.34,$12.69,$134.04,2025
B0BJMTY6X1,"2,333",-,-,551,23.62%,"$7,251.02",-,1.94%,548,6,"$7,026.19",$136.64,$138.78,$4.70,$131.94,2025
B0DY9LB1WW,"2,028",-,-,399,19.67%,"$4,232.93",-,2.93%,398,8,"$4,223.94",$123.70,$121.34,$3.53,$120.17,2025
B009RWV3LW,"2,182",-,-,691,31.67%,"$3,040.77",-,2.20%,690,10,"$3,025.78",$66.48,$129.32,$3.94,$62.54,2025
B000R30X2A,"1,370",-,-,627,45.77%,"$2,523.80",-,2.40%,627,8,"$2,523.80",$60.59,$209.40,$7.22,$53.37,2025
B08J8G3K3N,"2,378",-,-,277,11.65%,"$9,248.88",-,3.10%,277,8,"$9,248.88",$286.47,$384.99,$12.22,$274.25,2025
B0DSLXS4G9,"1,525",-,-,321,21.05%,"$5,782.93",-,4.62%,321,23,"$5,782.93",$266.94,$569.00,$33.35,$233.59,2025
B0CH4NYL6J,"2,552",-,-,314,12.30%,"$8,419.76",-,3.05%,313,19,"$8,414.76",$256.46,$742.00,$26.40,$230.06,2025
B0CLLSPX2P,"1,923",-,-,321,16.69%,"$7,742.78",-,3.10%,320,27,"$7,731.59",$239.89,$834.05,$31.35,$208.54,2025
B0CSG8GVPJ,"2,355",-,-,302,12.82%,"$6,268.18",-,3.37%,304,6,"$6,290.56",$211.99,$142.12,$7.38,$204.61,2025
B0D45PK5V4,"2,677",-,-,250,9.34%,"$6,520.30",-,3.55%,249,15,"$6,020.31",$213.48,$340.66,$12.14,$201.34,2025
B0DMTYFCZT,"2,144",-,-,275,12.83%,"$5,834.97",-,3.56%,276,2,"$5,839.96",$208.14,$176.17,$6.92,$201.22,2025
B0BMJDW47V,"3,432",-,-,308,8.97%,"$6,178.32",-,3.31%,308,12,"$6,178.32",$204.31,$202.36,$6.57,$197.74,2025
B0FTRYT5TZ,"2,836",-,-,280,9.87%,"$6,116.67",-,3.41%,274,7,"$5,936.78",$202.44,$142.65,$5.62,$196.82,2025
B0FN48CD1G,"3,145",-,-,281,8.93%,"$6,527.40",-,3.20%,281,18,"$6,521.40",$209.01,$386.84,$14.28,$194.73,2025
B0BL8MZJJY,"2,504",-,-,293,11.70%,"$5,969.38",-,3.14%,293,4,"$5,969.38",$187.53,$56.81,$1.91,$185.62,2025
B0BZ3VRFMY,"2,529",-,-,315,12.46%,"$5,661.05",-,3.45%,315,11,"$5,661.05",$195.23,$287.42,$9.89,$185.34,2025
B0D8BL6YMF,"2,697",-,-,269,9.97%,"$6,267.52",-,3.51%,269,21,"$6,267.52",$220.16,$893.90,$35.25,$184.91,2025
B0D4QHW8SJ,"3,027",-,-,297,9.81%,"$6,290.50",-,3.23%,296,16,"$6,170.51",$199.13,$416.87,$15.36,$183.77,2025
B013RQPB5C,"2,614",-,-,330,12.62%,"$6,164.63",-,3.08%,329,12,"$6,151.63",$189.47,$208.89,$8.27,$181.20,2025
B0CQTSKJ5N,"2,936",-,-,286,9.74%,"$6,363.33",-,3.16%,286,22,"$6,363.33",$200.90,$666.57,$22.44,$178.46,2025
B0DDTDPMRM,"3,637",-,-,257,7.07%,"$5,690.77",-,3.28%,257,18,"$5,690.77",$186.91,$404.76,$13.04,$173.87,2025
B0CSG97M2P,"1,977",-,-,278,14.06%,"$5,481.37",-,3.24%,277,5,"$5,473.90",$177.20,$156.41,$5.74,$171.46,2025
B0DSCGXCT4,"2,173",-,-,300,13.81%,"$5,705.87",-,3.19%,300,12,"$5,705.86",$182.13,$353.60,$12.67,$169.46,2025
B084ZQVW1W,"2,659",-,-,309,11.62%,"$6,046.22",-,3.24%,309,18,"$6,046.22",$195.93,$730.05,$28.20,$167.73,2025
B08KTXDFSG,"2,901",-,-,287,9.89%,"$5,698.30",-,3.16%,287,17,"$5,698.30",$180.07,$393.36,$12.78,$167.29,2025
B0DTB3RLY7,"1,739",-,-,305,17.54%,"$5,014.31",-,3.43%,305,13,"$5,014.31",$171.78,$216.30,$6.57,$165.21,2025
B0G4R5MWWC,"1,752",-,-,305,17.41%,"$4,706.51",-,3.51%,289,6,"$4,679.28",$164.21,$114.32,$3.46,$160.75,2025
B0DQPPFT5X,"2,405",-,-,267,11.10%,"$5,061.68",-,3.30%,267,7,"$5,061.68",$167.16,$187.72,$6.92,$160.24,2025
B09P9SBWXV,"3,187",-,-,330,10.35%,"$5,645.24",-,2.96%,329,11,"$5,615.48",$166.44,$219.17,$10.72,$155.72,2025
B0D8Q3J3HF,"2,426",-,-,235,9.69%,"$5,477.70",-,3.24%,235,23,"$5,477.70",$177.65,$621.32,$22.02,$155.63,2025
B0DNV248J5,"3,051",-,-,253,8.29%,"$4,836.00",-,3.30%,252,6,"$4,816.80",$159.15,$223.82,$5.96,$153.19,2025
B0CQ6ZRZZL,"2,378",-,-,276,11.61%,"$5,046.54",-,3.23%,278,15,"$5,132.54",$165.69,$344.48,$12.51,$153.18,2025
B07KXRBH6M,"3,577",-,-,246,6.88%,"$5,411.66",-,2.86%,246,3,"$5,411.66",$154.60,$41.52,$1.61,$152.99,2025
B0B1S8VDML,"2,538",-,-,302,11.90%,"$5,477.91",-,3.15%,301,18,"$5,464.13",$171.94,$500.32,$19.00,$152.94,2025
B0DZFZXNK1,"2,826",-,-,259,9.16%,"$5,439.05",-,3.13%,256,14,"$5,410.20",$169.43,$547.62,$17.36,$152.07,2025
B09FYBJXC7,"1,923",-,-,277,14.40%,"$4,443.13",-,3.49%,272,6,"$4,407.76",$153.83,$61.25,$2.15,$151.68,2025
B0F6VVXDCY,"2,112",-,-,292,13.83%,"$4,992.34",-,3.22%,291,9,"$4,979.44",$160.16,$259.27,$9.17,$150.99,2025
B0FCHNHX17,"2,285",-,-,250,10.94%,"$5,246.04",-,2.97%,247,5,"$5,199.08",$154.50,$108.06,$3.79,$150.71,2025
B089F9YDFC,"1,967",-,-,215,10.93%,"$4,902.69",-,3.09%,214,2,"$4,882.96",$151.03,$22.98,$0.65,$150.38,2025
B0DQNNZP7Y,"2,913",-,-,285,9.78%,"$4,752.46",-,3.30%,285,11,"$4,752.46",$156.63,$204.42,$6.54,$150.09,2025
B01HYE7QO2,"3,537",-,-,269,7.61%,"$5,219.48",-,3.18%,265,13,"$5,193.17",$165.28,$326.65,$15.50,$149.78,2025
B0F7ZKJ5B1,"2,968",-,-,225,7.58%,"$4,397.83",-,3.53%,225,10,"$4,397.83",$155.29,$182.35,$5.91,$149.38,2025
B0DGQ5QQD7,"3,389",-,-,322,9.50%,"$4,980.92",-,3.23%,322,14,"$4,980.92",$160.68,$343.85,$13.28,$147.40,2025
B0D4YFGH7L,"3,157",-,-,217,6.87%,"$4,587.21",-,3.61%,217,24,"$4,587.21",$165.64,$520.62,$19.48,$146.16,2025
